branch_id,branch_name,city,state,region
1,Jaipur North Branch,Jaipur,Rajasthan,North
2,Bengaluru East Branch,Bengaluru,Karnataka,South
3,Thane South Branch,Thane,Maharashtra,West
4,Srinagar West Branch,Srinagar,Jammu & Kashmir,North
5,Vijayawada East Branch,Vijayawada,Andhra Pradesh,South
6,Ludhiana Central Branch,Ludhiana,Punjab,North
7,Chennai West Branch,Chennai,Tamil Nadu,South
8,Surat South Branch,Surat,Gujarat,West
9,Ludhiana South Branch,Ludhiana,Punjab,North
10,Ahmedabad West Branch,Ahmedabad,Gujarat,West
11,Nashik South Branch,Nashik,Maharashtra,West
12,Hyderabad South Branch,Hyderabad,Telangana,South
13,Lucknow South Branch,Lucknow,Uttar Pradesh,North
14,Nashik Main Branch,Nashik,Maharashtra,West
15,Mumbai Main Branch,Mumbai,Maharashtra,West
16,Pune West Branch,Pune,Maharashtra,West
17,Varanasi Central Branch,Varanasi,Uttar Pradesh,North
18,Agra East Branch,Agra,Uttar Pradesh,North
19,Indore North Branch,Indore,Madhya Pradesh,West
20,Madurai Main Branch,Madurai,Tamil Nadu,South
21,Kochi North Branch,Kochi,Kerala,South
22,Chennai Central Branch,Chennai,Tamil Nadu,South
23,Agra Central Branch,Agra,Uttar Pradesh,North
24,Nagpur North Branch,Nagpur,Maharashtra,West
25,Ranchi North Branch,Ranchi,Jharkhand,East
26,Agra Main Branch,Agra,Uttar Pradesh,North
27,Surat South Branch,Surat,Gujarat,West
28,Chennai South Branch,Chennai,Tamil Nadu,South
29,Pune East Branch,Pune,Maharashtra,West
30,Kochi Central Branch,Kochi,Kerala,South
31,Aurangabad Main Branch,Aurangabad,Maharashtra,West
32,Ludhiana West Branch,Ludhiana,Punjab,North
33,Mysuru South Branch,Mysuru,Karnataka,South
34,Kanpur Main Branch,Kanpur,Uttar Pradesh,North
35,Kolkata Main Branch,Kolkata,West Bengal,East
36,Ahmedabad East Branch,Ahmedabad,Gujarat,West
37,Kochi North Branch,Kochi,Kerala,South
38,Ranchi Main Branch,Ranchi,Jharkhand,East
39,Ghaziabad West Branch,Ghaziabad,Uttar Pradesh,North
40,Pune South Branch,Pune,Maharashtra,West
41,Lucknow South Branch,Lucknow,Uttar Pradesh,North
42,Delhi South Branch,Delhi,Delhi,North
43,Ahmedabad Main Branch,Ahmedabad,Gujarat,West
44,Pune North Branch,Pune,Maharashtra,West
45,Madurai Central Branch,Madurai,Tamil Nadu,South
46,Visakhapatnam South Branch,Visakhapatnam,Andhra Pradesh,South
