branch_id,branch_name,city,state,region
1,Jaipur North Branch,Jaipur,Rajasthan,oNrth
2,Bengaluru East Branch,Bengaluru,Maharashtra,West
3,Thane South Branch,thane,haryana, North
4,Srinagar West Branch,Srinagar,Odisha,East
5,Vijayawada East Branch,Vijayawada,Madhya Pradesh,West
6,Ludhiana Central Branch,Ludhiana,West Bengal,East
7,Chennai West Branch,Chennai,Meghalaya,East
8,Surat South Branch,Surat,Chhattisgarh,West
9,Ludhiana South Branch,LUDHIANA,Chhattisgarh,West
10,Ahmedabad West Branch,Ahmedabad,Ladakh,North
11,Nashik South Branch,Nashik,Tripura,
12,Hyderabad South Branch,Hyderabad,Puducherry,South
13,Lucknow South Branch,Lucknow,Goa,West
14,Nashik Main Branch,Nashik,Uttarakhand,North
15,Mumbai Main Branch, Mumbai,Manipur,East
16,Pune West Branch,Pune,Rajasthan,North
17,Varanasi Central Branch,varanasi,Uttar Pradesh,West
18,Agra East Branch,Agra,Haryana,North
19,Indore North Branch,Indore,Chhattisgarh,West
20,Madurai Main Branch,  Madurai  ,Haryana,North
21,Kochi North Branch, Kochi,Mizoram, East
22,Chennai Central Branch,Chennai,Punjab,North
23,Agra Central Branch,Agra,Chandigarh,North
24,Nagpur North Branch,Nagpur,Manipur,EAST
25,Ranchi North Branch,RANCHI,Tamil Nadu,South
26,Agra Main Branch,Agra,Madhya Pradesh,West
27,Surat South Branch,Surat,Goa,West
28,Chennai South Branch,Chennai,sikkim,East
29,Pune East Branch,Pune,Karnataka,
30,Kochi Central Branch,  Kochi  ,Jharkhand,East
31,Aurangabad Main Branch,Aurangabad,Himachal Pradesh,North
32,Ludhiana West Branch,Ludhiana,Meghalaya,East
33,Mysuru South Branch,Mysuru,Uttarakhand,North
34,Kanpur Main Branch,Kanpur,Jharkhand,East
35,Kolkata Main Branch,Kolkata,Ladakh,North
36,Ahmedabad East Branch,Ahmedabad,Arunachal Pradesh,East
37,Kochi North Branch,Kochi,Chandigarh,North
38,Ranchi Main Branch,Ranchi,Madhya Pradesh,West
39,Ghaziabad West Branch,Ghaziabad,Maharashtra,West
40,Pune South Branch,Pune,Mizoram,East
41,Lucknow South Branch,Lucknow,Manipur,East
42,Delhi South Branch,Delhi,Telangana,South
43,Ahmedabad Main Branch,Ahmedabad,chandigarh,North
44,Pune North Branch,Pune,Nagaland,East
45,Madurai Central Branch,Madurai,CHANDIGARH,  North  
46,Visakhapatnam South Branch, Visakhapatnam,Goa,WEST
47,Pune West Branch,Pune,nagaland,
48,Hyderabad East Branch,Hyderabad,Mizoram,East
49,Kanpur Main Branch,  Kanpur  ,Chandigarh,North
